,subregion2_name,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,1.0,1.0,19.0,1.0,-1.0,0.0
46,,5.0,0.0,31.0,1.0,-1.0,-1.0
47,,9.0,1.0,44.0,-12.0,-38.0,8.0
48,,0.0,0.0,16.0,3.0,0.0,0.0
49,,0.0,0.0,13.0,1.0,0.0,0.0
50,,2.0,1.0,12.0,1.0,0.0,0.0
51,,1.0,0.0,8.0,0.0,1.0,0.0
52,,0.0,0.0,-3.0,-4.0,1.0,1.0
53,,4.0,1.0,16.0,3.0,2.0,0.0
54,,2.0,0.0,12.0,1.0,4.0,0.0
55,,3.0,1.0,20.0,3.0,3.0,-1.0
56,,5.0,3.0,16.0,3.0,2.0,-1.0
57,,5.0,3.0,14.0,3.0,2.0,-1.0
58,,4.0,4.0,10.0,2.0,3.0,-1.0
59,,4.0,4.0,15.0,1.0,2.0,-1.0
60,,5.0,3.0,-4.0,-1.0,1.0,0.0
61,,6.0,6.0,8.0,0.0,4.0,-1.0
62,,8.0,9.0,30.0,2.0,3.0,-1.0
63,,4.0,6.0,15.0,-1.0,2.0,0.0
64,,5.0,7.0,11.0,-1.0,2.0,0.0
65,,2.0,5.0,7.0,-4.0,2.0,0.0
66,,0.0,4.0,0.0,-6.0,2.0,1.0
67,,2.0,3.0,11.0,-4.0,1.0,0.0
68,,3.0,6.0,12.0,-7.0,1.0,1.0
69,,-1.0,4.0,-10.0,-13.0,-3.0,3.0
70,,3.0,9.0,12.0,-10.0,-3.0,2.0
71,,-3.0,13.0,-15.0,-18.0,-6.0,4.0
72,,-3.0,31.0,-20.0,-21.0,-8.0,5.0
73,,-13.0,23.0,-37.0,-24.0,-6.0,6.0
74,,-16.0,11.0,-25.0,-23.0,-8.0,6.0
75,,-12.0,21.0,-27.0,-31.0,-24.0,11.0
76,,-23.0,11.0,-12.0,-34.0,-33.0,14.0
77,,-29.0,4.0,-20.0,-39.0,-38.0,17.0
78,,-32.0,3.0,-20.0,-43.0,-40.0,18.0
79,,-40.0,-3.0,-22.0,-46.0,-44.0,21.0
80,,-48.0,-13.0,-22.0,-47.0,-33.0,16.0
81,,-50.0,-22.0,-24.0,-52.0,-36.0,14.0
82,,-41.0,-18.0,-28.0,-52.0,-49.0,21.0
83,,-42.0,-18.0,-31.0,-52.0,-50.0,22.0
84,,-42.0,-19.0,-30.0,-52.0,-51.0,22.0
85,,-42.0,-18.0,-28.0,-53.0,-51.0,23.0
86,,-44.0,-17.0,-29.0,-54.0,-50.0,24.0
87,,-50.0,-20.0,-48.0,-53.0,-37.0,18.0
88,,-50.0,-24.0,-38.0,-54.0,-39.0,15.0
89,,-40.0,-20.0,-24.0,-53.0,-51.0,21.0
90,,-40.0,-18.0,-23.0,-52.0,-53.0,22.0
91,,-39.0,-14.0,-25.0,-51.0,-52.0,22.0
92,,-41.0,-15.0,-30.0,-54.0,-53.0,23.0
93,,-42.0,-12.0,-31.0,-53.0,-51.0,23.0
94,,-50.0,-18.0,-54.0,-54.0,-39.0,18.0
95,,-53.0,-27.0,-61.0,-59.0,-42.0,16.0
96,,-46.0,-23.0,-54.0,-60.0,-54.0,24.0
97,,-47.0,-23.0,-41.0,-57.0,-55.0,24.0
98,,-47.0,-22.0,-43.0,-58.0,-55.0,24.0
99,,-49.0,-24.0,-54.0,-62.0,-56.0,26.0
100,,-47.0,-19.0,-44.0,-59.0,-56.0,26.0
101,,-48.0,-14.0,-46.0,-53.0,-40.0,18.0
102,,-62.0,-34.0,-55.0,-58.0,-44.0,16.0
103,,-45.0,-25.0,-36.0,-55.0,-52.0,22.0
104,,-43.0,-21.0,-25.0,-52.0,-52.0,22.0
105,,-45.0,-17.0,-28.0,-51.0,-52.0,22.0
106,,-54.0,-16.0,-34.0,-53.0,-52.0,23.0
107,,-56.0,-17.0,-39.0,-54.0,-50.0,24.0
108,,-59.0,-18.0,-47.0,-50.0,-35.0,17.0
109,,-59.0,-21.0,-39.0,-52.0,-37.0,14.0
110,,-54.0,-19.0,-34.0,-53.0,-50.0,21.0
111,,-53.0,-17.0,-25.0,-52.0,-51.0,21.0
112,,-53.0,-16.0,-25.0,-52.0,-51.0,22.0
113,,-53.0,-15.0,-28.0,-52.0,-51.0,22.0
114,,-54.0,-14.0,-29.0,-52.0,-50.0,23.0
115,,-56.0,-13.0,-35.0,-47.0,-34.0,15.0
116,,-56.0,-17.0,-31.0,-50.0,-36.0,13.0
117,,-51.0,-15.0,-23.0,-51.0,-49.0,20.0
118,,-51.0,-14.0,-19.0,-49.0,-50.0,13.0
119,,-49.0,-15.0,-27.0,-50.0,-50.0,21.0
120,,-47.0,-12.0,-24.0,-50.0,-50.0,21.0
121,,-47.0,-9.0,-23.0,-48.0,-48.0,21.0
122,,-50.0,-8.0,-30.0,-43.0,-32.0,14.0
123,,-50.0,-12.0,-21.0,-45.0,-32.0,12.0
124,,-44.0,-10.0,-17.0,-48.0,-47.0,19.0
125,,-44.0,-6.0,-14.0,-46.0,-48.0,19.0
126,,-46.0,-10.0,-17.0,-47.0,-48.0,20.0
127,,-46.0,-8.0,-18.0,-48.0,-49.0,20.0
128,,-46.0,-5.0,-18.0,-46.0,-46.0,20.0
129,,-46.0,4.0,-23.0,-40.0,-29.0,12.0
130,,-47.0,0.0,-22.0,-40.0,-28.0,9.0
131,,-45.0,-14.0,-20.0,-48.0,-46.0,18.0
132,,-45.0,-10.0,-17.0,-46.0,-47.0,19.0
133,,-44.0,-10.0,-16.0,-46.0,-47.0,19.0
134,,-45.0,-10.0,-17.0,-47.0,-47.0,19.0
135,,-45.0,-9.0,-11.0,-46.0,-45.0,19.0
136,,-47.0,-7.0,-14.0,-41.0,-27.0,12.0
137,,-47.0,-13.0,-16.0,-44.0,-28.0,11.0
138,,-43.0,-13.0,-24.0,-49.0,-45.0,18.0
139,,-42.0,-9.0,-7.0,-46.0,-45.0,18.0
140,,-41.0,-7.0,-4.0,-45.0,-45.0,18.0
141,,-40.0,-6.0,-5.0,-45.0,-45.0,18.0
142,,-41.0,-4.0,-3.0,-43.0,-43.0,18.0
143,,-44.0,-3.0,-4.0,-38.0,-24.0,10.0
144,,-43.0,-6.0,13.0,-39.0,-26.0,8.0
145,,-43.0,-8.0,32.0,-51.0,-72.0,22.0
146,,-40.0,-8.0,-3.0,-44.0,-43.0,16.0
147,,-39.0,-8.0,-4.0,-44.0,-43.0,17.0
148,,-39.0,-7.0,-7.0,-44.0,-43.0,17.0
149,,-40.0,-8.0,-9.0,-43.0,-41.0,17.0
150,,-42.0,-7.0,-14.0,-38.0,-17.0,11.0
151,,-43.0,-13.0,-5.0,-40.0,-19.0,9.0
152,,-41.0,-12.0,-16.0,-45.0,-42.0,17.0
153,,-39.0,-6.0,-8.0,-44.0,-42.0,17.0
154,,-36.0,-3.0,-5.0,-43.0,-42.0,16.0
155,,-35.0,-3.0,-6.0,-43.0,-42.0,16.0
156,,-36.0,-5.0,-10.0,-42.0,-40.0,16.0
157,,-37.0,-4.0,-6.0,-35.0,-17.0,9.0
158,,-35.0,-7.0,7.0,-35.0,-18.0,8.0
159,,-32.0,-7.0,3.0,-41.0,-40.0,14.0
160,,-32.0,-4.0,10.0,-41.0,-40.0,15.0
161,,-31.0,-5.0,7.0,-41.0,-41.0,15.0
162,,-31.0,-5.0,4.0,-40.0,-41.0,15.0
163,,-32.0,-6.0,2.0,-39.0,-39.0,14.0
164,,-34.0,-4.0,7.0,-31.0,-15.0,7.0
165,,-32.0,-8.0,19.0,-31.0,-16.0,6.0
166,,-29.0,-8.0,7.0,-39.0,-39.0,13.0
167,,-29.0,-5.0,15.0,-38.0,-40.0,14.0
168,,-29.0,-6.0,12.0,-38.0,-41.0,14.0
169,,-28.0,-5.0,9.0,-39.0,-41.0,14.0
170,,-30.0,-4.0,9.0,-38.0,-40.0,12.0
171,,-31.0,1.0,6.0,-32.0,-14.0,7.0
172,,-32.0,-4.0,10.0,-34.0,-14.0,5.0
173,,-29.0,-11.0,8.0,-40.0,-42.0,13.0
174,,-29.0,-7.0,14.0,-38.0,-42.0,14.0
175,,-29.0,-8.0,9.0,-39.0,-41.0,14.0
176,,-29.0,-7.0,7.0,-39.0,-41.0,14.0
177,,-31.0,-7.0,7.0,-39.0,-40.0,14.0
178,,-33.0,-6.0,6.0,-32.0,-16.0,7.0
179,,-31.0,-11.0,8.0,-34.0,-14.0,6.0
180,,-26.0,-9.0,10.0,-39.0,-40.0,13.0
181,,-25.0,-7.0,15.0,-39.0,-41.0,13.0
182,,-24.0,-4.0,10.0,-38.0,-41.0,13.0
183,,-22.0,2.0,14.0,-36.0,-43.0,13.0
184,,-25.0,8.0,24.0,-40.0,-58.0,17.0
185,,-48.0,-5.0,-4.0,-41.0,-32.0,10.0
186,,-36.0,-17.0,-2.0,-37.0,-21.0,7.0
187,,-26.0,-7.0,11.0,-39.0,-44.0,14.0
188,,-27.0,-5.0,16.0,-38.0,-43.0,14.0
189,,-28.0,-6.0,12.0,-39.0,-42.0,14.0
190,,-28.0,-5.0,9.0,-40.0,-42.0,14.0
191,,-31.0,-6.0,6.0,-41.0,-41.0,14.0
192,,-33.0,-5.0,3.0,-35.0,-17.0,8.0
193,,-32.0,-9.0,11.0,-36.0,-18.0,7.0
194,,-27.0,-8.0,7.0,-41.0,-42.0,13.0
195,,-28.0,-6.0,14.0,-41.0,-43.0,14.0
196,,-29.0,-7.0,11.0,-41.0,-43.0,14.0
197,,-30.0,-7.0,10.0,-42.0,-43.0,15.0
198,,-31.0,-7.0,11.0,-41.0,-41.0,15.0
199,,-34.0,-6.0,9.0,-36.0,-19.0,8.0
200,,-32.0,-10.0,15.0,-37.0,-20.0,7.0
201,,-28.0,-10.0,13.0,-41.0,-43.0,14.0
202,,-29.0,-8.0,18.0,-41.0,-44.0,14.0
203,,-29.0,-9.0,13.0,-42.0,-43.0,14.0
204,,-29.0,-8.0,11.0,-42.0,-43.0,15.0
205,,-31.0,-8.0,10.0,-41.0,-41.0,14.0
206,,-33.0,-6.0,13.0,-35.0,-19.0,8.0
207,,-31.0,-10.0,19.0,-36.0,-20.0,6.0
208,,-28.0,-10.0,13.0,-42.0,-43.0,13.0
209,,-29.0,-9.0,17.0,-41.0,-43.0,14.0
210,,-29.0,-9.0,14.0,-42.0,-44.0,14.0
211,,-29.0,-8.0,10.0,-42.0,-44.0,14.0
212,,-30.0,-7.0,12.0,-40.0,-42.0,14.0
213,,-32.0,-4.0,10.0,-34.0,-19.0,7.0
214,,-30.0,-9.0,17.0,-34.0,-20.0,6.0
215,,-26.0,-7.0,15.0,-40.0,-43.0,13.0
216,,-27.0,-6.0,19.0,-40.0,-43.0,13.0
217,,-27.0,-8.0,14.0,-40.0,-43.0,14.0
218,,-27.0,-7.0,15.0,-40.0,-43.0,14.0
219,,-29.0,-7.0,14.0,-39.0,-41.0,13.0
220,,-31.0,-6.0,15.0,-34.0,-19.0,7.0
221,,-29.0,-9.0,19.0,-34.0,-20.0,6.0
222,,-27.0,-10.0,13.0,-41.0,-43.0,13.0
223,,-27.0,-8.0,20.0,-41.0,-43.0,13.0
224,,-28.0,-10.0,13.0,-42.0,-43.0,14.0
225,,-29.0,-9.0,8.0,-42.0,-44.0,14.0
226,,-30.0,-8.0,8.0,-41.0,-42.0,13.0
227,,-33.0,-7.0,7.0,-36.0,-21.0,7.0
228,,-31.0,-11.0,6.0,-36.0,-21.0,6.0
229,,-28.0,-11.0,0.0,-42.0,-43.0,13.0
230,,-30.0,-10.0,3.0,-43.0,-43.0,14.0
231,,-30.0,-11.0,-5.0,-43.0,-43.0,14.0
232,,-30.0,-10.0,-7.0,-43.0,-43.0,14.0
233,,-31.0,-10.0,-5.0,-41.0,-41.0,14.0
234,,-32.0,-8.0,-5.0,-35.0,-19.0,8.0
235,,-31.0,-12.0,-4.0,-37.0,-20.0,6.0
236,,-29.0,-13.0,-7.0,-43.0,-42.0,13.0
237,,-29.0,-11.0,0.0,-42.0,-42.0,14.0
238,,-29.0,-12.0,-2.0,-43.0,-42.0,14.0
239,,-29.0,-11.0,-1.0,-42.0,-42.0,14.0
240,,-30.0,-11.0,-1.0,-40.0,-40.0,13.0
241,,-30.0,-8.0,3.0,-33.0,-18.0,7.0
242,,-28.0,-11.0,8.0,-35.0,-19.0,6.0
243,,-28.0,-13.0,-2.0,-42.0,-41.0,13.0
244,,-26.0,-8.0,5.0,-40.0,-42.0,13.0
245,,-27.0,-10.0,1.0,-41.0,-42.0,13.0
246,,-26.0,-7.0,-1.0,-39.0,-42.0,13.0
247,,-26.0,-6.0,2.0,-37.0,-41.0,12.0
248,,-31.0,-6.0,2.0,-33.0,-22.0,6.0
249,,-29.0,-10.0,12.0,-37.0,-23.0,5.0
250,,-27.0,-10.0,18.0,-50.0,-73.0,19.0
251,,-28.0,-10.0,-8.0,-40.0,-43.0,13.0
252,,-29.0,-12.0,-13.0,-42.0,-42.0,13.0
253,,-29.0,-11.0,-17.0,-42.0,-42.0,14.0
254,,-29.0,-12.0,-17.0,-41.0,-39.0,13.0
255,,-29.0,-9.0,-18.0,-35.0,-17.0,7.0
256,,-29.0,-12.0,-15.0,-38.0,-19.0,6.0
257,,-27.0,-12.0,-13.0,-43.0,-39.0,13.0
258,,-27.0,-10.0,-5.0,-42.0,-39.0,13.0
259,,-28.0,-13.0,-5.0,-43.0,-40.0,13.0
260,,-28.0,-12.0,-8.0,-42.0,-40.0,13.0
261,,-27.0,-11.0,-6.0,-41.0,-38.0,12.0
262,,-27.0,-8.0,0.0,-34.0,-17.0,6.0
263,,-26.0,-12.0,3.0,-36.0,-17.0,5.0
264,,-27.0,-13.0,-7.0,-43.0,-40.0,12.0
265,,-27.0,-12.0,-4.0,-43.0,-40.0,13.0
266,,-27.0,-13.0,-8.0,-44.0,-39.0,13.0
267,,-28.0,-12.0,-12.0,-44.0,-40.0,13.0
268,,-27.0,-11.0,-10.0,-42.0,-37.0,12.0
269,,-27.0,-8.0,-4.0,-35.0,-15.0,6.0
270,,-26.0,-12.0,-1.0,-37.0,-17.0,5.0
271,,-26.0,-13.0,-12.0,-44.0,-39.0,12.0
272,,-28.0,-12.0,-11.0,-44.0,-39.0,13.0
273,,-27.0,-11.0,-15.0,-43.0,-40.0,13.0
274,,-25.0,-8.0,-19.0,-42.0,-39.0,13.0
275,,-27.0,-9.0,-18.0,-40.0,-37.0,12.0
276,,-26.0,-6.0,-11.0,-33.0,-16.0,6.0
277,,-25.0,-10.0,-5.0,-35.0,-17.0,5.0
278,,-25.0,-11.0,-13.0,-42.0,-39.0,12.0
279,,-26.0,-10.0,-8.0,-42.0,-39.0,12.0
280,,-27.0,-12.0,-12.0,-44.0,-39.0,12.0
281,,-26.0,-11.0,-13.0,-42.0,-39.0,13.0
282,,-27.0,-11.0,-11.0,-41.0,-37.0,12.0
283,,-26.0,-8.0,-6.0,-34.0,-15.0,6.0
284,,-25.0,-12.0,1.0,-35.0,-16.0,5.0
285,,-25.0,-12.0,-4.0,-43.0,-42.0,13.0
286,,-26.0,-11.0,-4.0,-42.0,-39.0,12.0
287,,-26.0,-12.0,-8.0,-42.0,-38.0,13.0
288,,-26.0,-11.0,-11.0,-40.0,-39.0,13.0
289,,-26.0,-10.0,-9.0,-39.0,-37.0,12.0
290,,,,,,,
291,,,,,,,
292,,,,,,,
293,,,,,,,
294,,,,,,,
295,Alameda County,,,,,,
296,Alameda County,,,,,,
297,Alameda County,,,,,,
298,Alameda County,,,,,,
299,Alameda County,,,,,,
300,Alameda County,,,,,,
301,Alameda County,,,,,,
302,Alameda County,,,,,,
303,Alameda County,,,,,,
304,Alameda County,,,,,,
305,Alameda County,,,,,,
306,Alameda County,,,,,,
307,Alameda County,,,,,,
308,Alameda County,,,,,,
309,Alameda County,,,,,,
310,Alameda County,,,,,,
311,Alameda County,,,,,,
312,Alameda County,,,,,,
313,Alameda County,,,,,,
314,Alameda County,,,,,,
315,Alameda County,,,,,,
316,Alameda County,,,,,,
317,Alameda County,,,,,,
318,Alameda County,,,,,,
319,Alameda County,,,,,,
320,Alameda County,,,,,,
321,Alameda County,,,,,,
322,Alameda County,,,,,,
323,Alameda County,,,,,,
324,Alameda County,,,,,,
325,Alameda County,,,,,,
326,Alameda County,,,,,,
327,Alameda County,,,,,,
328,Alameda County,,,,,,
329,Alameda County,,,,,,
330,Alameda County,,,,,,
331,Alameda County,,,,,,
332,Alameda County,,,,,,
333,Alameda County,,,,,,
334,Alameda County,,,,,,
335,Alameda County,,,,,,
336,Alameda County,,,,,,
337,Alameda County,,,,,,
338,Alameda County,,,,,,
339,Alameda County,,,,,,
340,Alameda County,1.0,0.0,22.0,1.0,0.0,-1.0
341,Alameda County,7.0,0.0,24.0,5.0,1.0,-2.0
342,Alameda County,13.0,1.0,55.0,-31.0,-53.0,11.0
343,Alameda County,-2.0,3.0,21.0,3.0,0.0,0.0
344,Alameda County,-1.0,0.0,14.0,1.0,0.0,0.0
345,Alameda County,1.0,1.0,13.0,2.0,0.0,0.0
346,Alameda County,1.0,1.0,8.0,-1.0,3.0,0.0
347,Alameda County,1.0,3.0,18.0,-2.0,4.0,-1.0
348,Alameda County,4.0,4.0,26.0,15.0,3.0,-1.0
349,Alameda County,0.0,0.0,9.0,0.0,4.0,0.0
350,Alameda County,1.0,2.0,26.0,5.0,3.0,-1.0
351,Alameda County,2.0,2.0,20.0,3.0,2.0,-1.0
352,Alameda County,4.0,4.0,23.0,4.0,2.0,-1.0
353,Alameda County,3.0,5.0,8.0,0.0,4.0,0.0
354,Alameda County,2.0,7.0,14.0,-4.0,3.0,-1.0
355,Alameda County,6.0,9.0,15.0,1.0,4.0,0.0
356,Alameda County,4.0,7.0,7.0,-1.0,3.0,0.0
357,Alameda County,5.0,12.0,41.0,0.0,1.0,-1.0
358,Alameda County,1.0,6.0,23.0,-3.0,1.0,0.0
359,Alameda County,1.0,6.0,12.0,-5.0,-1.0,1.0
360,Alameda County,1.0,5.0,-1.0,-7.0,0.0,2.0
361,Alameda County,-6.0,4.0,-23.0,-14.0,1.0,3.0
362,Alameda County,-2.0,4.0,14.0,-8.0,1.0,1.0
363,Alameda County,0.0,6.0,18.0,-15.0,-6.0,4.0
364,Alameda County,-1.0,8.0,29.0,-15.0,-9.0,4.0
365,Alameda County,-1.0,7.0,31.0,-18.0,-12.0,5.0
366,Alameda County,-1.0,16.0,26.0,-25.0,-16.0,7.0
367,Alameda County,-6.0,26.0,3.0,-30.0,-17.0,8.0
368,Alameda County,-25.0,11.0,-55.0,-39.0,-8.0,9.0
369,Alameda County,-25.0,6.0,-41.0,-36.0,-11.0,8.0
370,Alameda County,-6.0,39.0,-18.0,-44.0,-36.0,14.0
371,Alameda County,-44.0,-4.0,-10.0,-61.0,-59.0,26.0
372,Alameda County,-46.0,-10.0,-10.0,-64.0,-60.0,27.0
373,Alameda County,-45.0,-9.0,16.0,-66.0,-61.0,27.0
374,Alameda County,-49.0,-10.0,0.0,-65.0,-59.0,28.0
375,Alameda County,-58.0,-18.0,-10.0,-60.0,-39.0,18.0
376,Alameda County,-57.0,-24.0,-1.0,-61.0,-40.0,15.0
377,Alameda County,-49.0,-23.0,-23.0,-71.0,-63.0,28.0
378,Alameda County,-51.0,-21.0,-33.0,-72.0,-65.0,30.0
379,Alameda County,-49.0,-20.0,-4.0,-70.0,-64.0,29.0
380,Alameda County,-49.0,-19.0,-2.0,-71.0,-64.0,29.0
381,Alameda County,-52.0,-20.0,-11.0,-70.0,-62.0,30.0
382,Alameda County,-61.0,-26.0,-49.0,-68.0,-44.0,20.0
383,Alameda County,-58.0,-27.0,-14.0,-64.0,-44.0,17.0
384,Alameda County,-48.0,-23.0,-1.0,-71.0,-64.0,27.0
385,Alameda County,-48.0,-18.0,6.0,-70.0,-66.0,28.0
386,Alameda County,-48.0,-18.0,0.0,-70.0,-65.0,28.0
387,Alameda County,-49.0,-18.0,-1.0,-72.0,-66.0,29.0
388,Alameda County,-51.0,-17.0,-10.0,-70.0,-64.0,30.0
389,Alameda County,-62.0,-28.0,-60.0,-69.0,-47.0,21.0
390,Alameda County,-65.0,-36.0,-61.0,-72.0,-49.0,18.0
391,Alameda County,-53.0,-29.0,-46.0,-75.0,-67.0,30.0
392,Alameda County,-50.0,-20.0,4.0,-70.0,-66.0,29.0
393,Alameda County,-53.0,-24.0,-13.0,-71.0,-66.0,29.0
394,Alameda County,-53.0,-23.0,-11.0,-72.0,-67.0,30.0
395,Alameda County,-53.0,-21.0,-6.0,-70.0,-65.0,31.0
396,Alameda County,-59.0,-23.0,-30.0,-65.0,-45.0,19.0
397,Alameda County,-67.0,-38.0,-22.0,-65.0,-46.0,16.0
398,Alameda County,-51.0,-28.0,-2.0,-70.0,-65.0,28.0
399,Alameda County,-50.0,-23.0,12.0,-68.0,-65.0,29.0
400,Alameda County,-54.0,-22.0,3.0,-68.0,-64.0,28.0
401,Alameda County,-64.0,-22.0,-8.0,-71.0,-65.0,30.0
402,Alameda County,-65.0,-21.0,-15.0,-70.0,-62.0,30.0
403,Alameda County,-69.0,-21.0,-12.0,-61.0,-40.0,18.0
404,Alameda County,-68.0,-27.0,-3.0,-63.0,-41.0,15.0
405,Alameda County,-63.0,-25.0,-13.0,-70.0,-64.0,28.0
406,Alameda County,-63.0,-21.0,6.0,-70.0,-64.0,29.0
407,Alameda County,-63.0,-23.0,10.0,-69.0,-64.0,28.0
408,Alameda County,-62.0,-21.0,10.0,-70.0,-64.0,29.0
409,Alameda County,-64.0,-20.0,5.0,-68.0,-61.0,29.0
410,Alameda County,-67.0,-21.0,-3.0,-60.0,-39.0,18.0
411,Alameda County,-66.0,-23.0,7.0,-61.0,-40.0,15.0
412,Alameda County,-61.0,-23.0,3.0,-68.0,-62.0,27.0
413,Alameda County,-61.0,-19.0,11.0,-67.0,-64.0,20.0
414,Alameda County,-60.0,-23.0,-4.0,-67.0,-63.0,28.0
415,Alameda County,-57.0,-20.0,8.0,-68.0,-63.0,28.0
416,Alameda County,-57.0,-16.0,3.0,-65.0,-60.0,28.0
417,Alameda County,-62.0,-18.0,-7.0,-58.0,-37.0,17.0
418,Alameda County,-60.0,-20.0,18.0,-57.0,-36.0,14.0
419,Alameda County,-54.0,-19.0,6.0,-67.0,-60.0,26.0
420,Alameda County,-54.0,-13.0,14.0,-66.0,-61.0,26.0
421,Alameda County,-55.0,-17.0,16.0,-66.0,-61.0,26.0
422,Alameda County,-55.0,-14.0,19.0,-66.0,-61.0,27.0
423,Alameda County,-56.0,-11.0,10.0,-64.0,-57.0,26.0
424,Alameda County,-58.0,-6.0,6.0,-54.0,-33.0,14.0
425,Alameda County,-58.0,-11.0,4.0,-54.0,-32.0,11.0
426,Alameda County,-56.0,-24.0,-20.0,-68.0,-59.0,26.0
427,Alameda County,-55.0,-14.0,3.0,-66.0,-60.0,26.0
428,Alameda County,-54.0,-17.0,-2.0,-65.0,-59.0,26.0
429,Alameda County,-54.0,-15.0,4.0,-67.0,-60.0,26.0
430,Alameda County,-55.0,-14.0,14.0,-65.0,-56.0,25.0
431,Alameda County,-58.0,-15.0,18.0,-56.0,-31.0,14.0
432,Alameda County,-59.0,-22.0,-6.0,-60.0,-31.0,14.0
433,Alameda County,-52.0,-18.0,1.0,-68.0,-58.0,25.0
434,Alameda County,-51.0,-13.0,16.0,-66.0,-58.0,25.0
435,Alameda County,-50.0,-14.0,19.0,-65.0,-57.0,25.0
436,Alameda County,-49.0,-11.0,26.0,-65.0,-58.0,25.0
437,Alameda County,-50.0,-8.0,25.0,-63.0,-54.0,24.0
438,Alameda County,-55.0,-11.0,24.0,-54.0,-27.0,13.0
439,Alameda County,-53.0,-15.0,38.0,-53.0,-28.0,10.0
440,Alameda County,-52.0,-15.0,55.0,-72.0,-79.0,27.0
441,Alameda County,-48.0,-11.0,23.0,-65.0,-56.0,24.0
442,Alameda County,-48.0,-13.0,19.0,-64.0,-55.0,24.0
443,Alameda County,-48.0,-11.0,25.0,-64.0,-55.0,24.0
444,Alameda County,-50.0,-12.0,21.0,-60.0,-52.0,24.0
445,Alameda County,-56.0,-17.0,-1.0,-54.0,-20.0,14.0
446,Alameda County,-55.0,-21.0,24.0,-50.0,-21.0,12.0
447,Alameda County,-53.0,-21.0,7.0,-63.0,-56.0,24.0
448,Alameda County,-53.0,-15.0,16.0,-65.0,-56.0,25.0
449,Alameda County,-51.0,-13.0,13.0,-63.0,-55.0,24.0
450,Alameda County,-50.0,-11.0,23.0,-64.0,-55.0,24.0
451,Alameda County,-52.0,-11.0,11.0,-62.0,-51.0,23.0
452,Alameda County,-55.0,-11.0,24.0,-52.0,-19.0,12.0
453,Alameda County,-53.0,-17.0,32.0,-50.0,-21.0,10.0
454,Alameda County,-47.0,-14.0,26.0,-61.0,-53.0,22.0
455,Alameda County,-47.0,-9.0,40.0,-61.0,-54.0,22.0
456,Alameda County,-47.0,-13.0,37.0,-61.0,-53.0,22.0
457,Alameda County,-47.0,-14.0,37.0,-62.0,-54.0,23.0
458,Alameda County,-49.0,-15.0,20.0,-60.0,-50.0,22.0
459,Alameda County,-52.0,-14.0,33.0,-49.0,-16.0,10.0
460,Alameda County,-52.0,-20.0,43.0,-48.0,-18.0,9.0
461,Alameda County,-46.0,-20.0,23.0,-60.0,-52.0,21.0
462,Alameda County,-46.0,-14.0,44.0,-60.0,-53.0,21.0
463,Alameda County,-46.0,-15.0,40.0,-61.0,-53.0,21.0
464,Alameda County,-44.0,-12.0,39.0,-61.0,-54.0,21.0
465,Alameda County,-45.0,-10.0,56.0,-57.0,-50.0,19.0
466,Alameda County,-50.0,-10.0,32.0,-49.0,-14.0,9.0
467,Alameda County,-50.0,-15.0,35.0,-47.0,-14.0,7.0
468,Alameda County,-44.0,-19.0,26.0,-60.0,-54.0,20.0
469,Alameda County,-43.0,-13.0,39.0,-60.0,-54.0,21.0
470,Alameda County,-44.0,-14.0,35.0,-60.0,-52.0,21.0
471,Alameda County,-43.0,-13.0,38.0,-59.0,-53.0,21.0
472,Alameda County,-46.0,-13.0,26.0,-58.0,-50.0,20.0
473,Alameda County,-48.0,-14.0,26.0,-48.0,-17.0,10.0
474,Alameda County,-47.0,-19.0,33.0,-49.0,-15.0,8.0
475,Alameda County,-38.0,-16.0,27.0,-59.0,-52.0,20.0
476,Alameda County,-37.0,-11.0,37.0,-59.0,-53.0,20.0
477,Alameda County,-36.0,-10.0,32.0,-57.0,-53.0,20.0
478,Alameda County,-32.0,-1.0,38.0,-57.0,-55.0,19.0
479,Alameda County,-37.0,0.0,47.0,-60.0,-67.0,22.0
480,Alameda County,-59.0,-19.0,20.0,-54.0,-32.0,11.0
481,Alameda County,-47.0,-23.0,23.0,-48.0,-21.0,7.0
482,Alameda County,-37.0,-14.0,23.0,-59.0,-55.0,20.0
483,Alameda County,-38.0,-9.0,39.0,-58.0,-55.0,21.0
484,Alameda County,-39.0,-12.0,33.0,-58.0,-53.0,21.0
